year,GDPperCapita,country,continent,LifeExpectancy,pop
1972,-0.1767748920865809,3,0,-1.6685441848115699,-0.22337776279399693
1977,-0.4268763914647108,3,0,-1.5481258566003449,-0.22085420470154507
1982,-0.4524172213225254,3,0,-1.512581153932208,-0.2128099645840433
1987,-0.48557398383106737,3,0,-1.515368973749317,-0.20472674277445896
1992,-0.46551856375570827,3,0,-1.4579863491804952,-0.196606659379323
1997,-0.5011066307500625,3,0,-1.4335154863414294,-0.18587386976778236
2002,-0.45075975135654783,3,0,-1.4304179087668643,-0.17653520567482572
2007,-0.24537832270779034,3,0,-1.2966025575456441,-0.1618888501702671
1952,-0.1323257260497487,4,1,0.23313612765341624,-0.11047409957451826
1957,-0.03637613534993024,4,1,0.38135521459636473,-0.09413908392939917
1962,-0.008337363034790633,4,1,0.43889271804391433,-0.07837260547431754
1967,0.08499880234425115,4,1,0.47699292221106754,-0.06282099274912678
1972,0.22605890742054485,4,1,0.58780875994114,-0.04543071056794064
1977,0.29059635060043343,4,1,0.6974630060807504,-0.024662816002067083
1982,0.1808878355053547,4,1,0.810602026991747,-0.0024483774614685143
1987,0.1952744700114845,4,1,0.8750316405427053,0.019031071969673116
1992,0.2123982474668887,4,1,0.9597503872070651,0.041061607758428514
1997,0.38073280106084273,4,1,1.0687076783923994,0.062210999004830556
2002,0.16056661750949375,4,1,1.1511806813151997,0.08225927287792269
2007,0.5646169503743117,4,1,1.227071331892048,0.10082957808615316
1952,0.2865950462998942,5,4,0.7469468078344315,-0.19702857000167942
1957,0.37894354238186456,5,4,0.8406485294650305,-0.18740463379661274
1962,0.5075720204541695,5,4,0.8871121930835103,-0.1772055174010449
1967,0.7418693810815089,5,4,0.9002768977754118,-0.16705448502159922
1972,0.9714589767628351,5,4,0.9645516324476422,-0.15476035473370392
1977,1.1282968028750933,5,4,1.0853571578556869,-0.14630725442738074
1982,1.2442645960639191,5,4,1.1821564570608518,-0.135847119938417
1987,1.4890121383860622,5,4,1.3045107712561799,-0.12573610574758012
1992,1.6448666401940981,5,4,1.4005356760677041,-0.11419586649670221
1997,2.0074570687446305,5,4,1.4988837640601513,-0.10398858062396843
2002,2.38188449460432,5,4,1.6181405006809149,-0.09473974308905458
2007,2.7621766714210647,5,4,1.6851256157308885,-0.08637819369408603
1952,-0.10941639263610718,6,3,0.567287308509645,-0.21364492849480454
1957,0.16512869906057634,6,3,0.6199461272772552,-0.2132860368612439
1962,0.35875710623060963,6,3,0.779471372367367,-0.21174067707678484
1967,0.5702207267608607,6,3,0.8259350359858457,-0.20941200859935438
1972,0.9585711503712514,6,3,0.8638803612742699,-0.20783650561137293
1977,1.2719079382087972,6,3,0.9831370978950335,-0.20760820311742365
1982,1.4594009370258765,6,3,1.061350931652807,-0.2075499425899529
1987,1.671560799583732,6,3,1.1976443449336784,-0.20750951922542932
1992,2.011930338227852,6,3,1.282827728234224,-0.20434287157461578
1997,2.220351782860646,6,3,1.3966637040994978,-0.20288323005287728
2002,2.557422790217393,6,3,1.5104996799647714,-0.20214415149348952
2007,2.9337850408449118,6,3,1.5762457639849186,-0.2016591559234675
1952,0.2690893590117562,7,2,-0.66097963924485,-0.27778828045416404
1957,0.44857118111455113,7,2,-0.4369473411644166,-0.2776167120109832
1962,0.5619679741065072,7,2,-0.19758203408988495,-0.27730380313240516
1967,0.7701352805966589,7,2,0.03473628400251062,-0.27701811642168456
1972,1.121646165111765,7,2,0.29624927073518353,-0.27674845771633805
1977,1.230371809702613,7,2,0.47381790519713834,-0.27612081195621746
1982,1.217286027271498,7,2,0.7416809259576707,-0.27536174785926454
1987,1.1475596129633618,7,2,0.873173093997966,-0.2746395453478632
1992,1.1994701014256635,7,2,1.016513496260974,-0.273933983317056
1997,1.3269681740704886,7,2,1.1190433139790845,-0.2732831577255302
2002,1.6427145850642149,7,2,1.1864156262258796,-0.2727381866974213
2007,2.291397832727645,7,2,1.2514647552917506,-0.2722465481269356
1952,-0.66274717503214,8,2,-1.702927295889244,0.16287738848222638
1957,-0.6650412104901702,8,2,-1.5585801809145026,0.20507795821782077
1962,-0.6625343413953221,8,2,-1.413923308182304,0.2566561077795845
1967,-0.6589984629302931,8,2,-1.240691282324741,0.3130282799199339
1972,-0.6682279408840462,8,2,-1.1013777309086676,0.3878200883643805
1977,-0.6652198308650283,8,2,-0.9719764277312035,0.47892823667108225
1982,-0.6634841236901697,8,2,-0.7329983178534927,0.5980885886762026
1987,-0.6558736849519876,8,2,-0.515393493240282,0.6988156508911666
1992,-0.6471639357360743,8,2,-0.2676647267144244,0.7924804309522032
1997,-0.6334687684231564,8,2,-0.00483526951256097,0.883039217254603
2002,-0.616865250150291,8,2,0.1965847122735459,0.9993294349969819
2007,-0.59100277442883,8,2,0.35525812353065206,1.1387057000542713
1952,0.11444223327943523,9,3,0.6602146357466034,-0.19665926628937785
1957,0.2536524327378139,9,3,0.7562395405581266,-0.19422155837738628
1962,0.383160591438047,9,3,0.8344533743159002,-0.19206103790460005
1967,0.6021286695441808,9,3,0.8878865874771509,-0.18887522449074667
1972,0.9596384692789386,9,3,0.9266063071592169,-0.18743732112797226
1977,1.207831235359215,9,3,1.0319239446944362,-0.18637538332335446
1982,1.3967662151057647,9,3,1.119430511175906,-0.18605027205385377
1987,1.5536191773554742,9,3,1.2293945150729721,-0.1859193248518061
1992,1.8631212852492585,9,3,1.3153522927671584,-0.18426637672792268
1997,2.064614360841478,9,3,1.39821249288678,-0.1828137268463885
2002,2.3613994657710364,9,3,1.4593896499844436,-0.18175666057544407
2007,2.686804231257166,9,3,1.5461992615116362,-0.18100043270989477
1952,-0.6243377519669562,10,0,-1.6456995501991507,-0.26254360261848186
1957,-0.6348050992654286,10,0,-1.4803663471567294,-0.2607828965466516
1962,-0.635830209943686,10,0,-1.3053532141937911,-0.2586465641337097
1967,-0.6270695618530514,10,0,-1.1297980051553045,-0.25605118625468465
1972,-0.621999273629115,10,0,-0.9649294387490673,-0.2529033180363876
1977,-0.6277464219937344,10,0,-0.7964212186927169,-0.24906960006667334
1982,-0.6025056884870604,10,0,-0.6636900196225944,-0.2446094989780614
1987,-0.6077866545746099,10,0,-0.5527193030137935,-0.238935292972083
1992,-0.6113026231332908,10,0,-0.4302101099397374,-0.2319824460059358
1997,-0.6070642193982301,10,0,-0.36376707096531197,-0.22176438999202472
2002,-0.5928674805020923,10,0,-0.39249710296940504,-0.21271829117764465
2007,-0.5859258280700946,10,0,-0.21268272476589067,-0.2028037213466185
1952,-0.46049747163162,11,1,-1.4760297385523378,-0.2517546160498273
1957,-0.5162726587244431,11,1,-1.3617291260508793,-0.2486599860621965
1962,-0.5108653943761118,11,1,-1.2426272683088446,-0.24505882022218917
1967,-0.46967497713677303,11,1,-1.1184144075687772,-0.2408492591893623
1972,-0.42974978319344626,11,1,-0.9881612705583073,-0.23590039345245106
1977,-0.37213519698755754,11,1,-0.7319141657023946,-0.23105859780670107
1982,-0.4118718583444793,11,1,-0.4348564763015849,-0.2257582560977397
1987,-0.452748254006517,11,1,-0.17218189797845002,-0.22091362422058608
1992,-0.4316404451649515,11,1,0.037369224940891024,-0.21396832483368908
1997,-0.3946582323469048,11,1,0.1994499715300187,-0.20643264644813789
2002,-0.3858177073296081,11,1,0.3413964638844728,-0.19934728811245792
2007,-0.34432683157182803,11,1,0.4707977670619371,-0.19299622160675362
1952,-0.6333913261557715,12,3,-0.4378766144367862,-0.25262447220274026
1957,-0.5947842329288147,12,3,-0.07933201018085552,-0.24993900393019303
1962,-0.5586898316939496,12,3,0.1901572388063231,-0.2473666080059636
1967,-0.511740128665317,12,3,0.4116340353877407,-0.24514285182238066
1972,-0.44194328230519647,12,3,0.6176229440963311,-0.24293794103018398
1977,-0.37412580069495466,12,3,0.8042519929638886,-0.24042208128011344
1982,-0.3134298639420582,12,3,0.8685267276361179,-0.23960519952238735
1987,-0.2944029801260348,12,3,0.9033744753499775,-0.2380383559917479
1992,-0.47374462623258434,12,3,0.9837566134099461,-0.23882010051723426
1997,-0.24851142634305826,12,3,1.0663070557721108,-0.2449355525171314
2002,-0.12140081740559064,12,3,1.1318208214741667,-0.2396737684789464
2007,0.02343805127659876,12,3,1.1908296742696352,-0.23602923939335918
1952,-0.6458010160196637,13,0,-0.9178462596156755,-0.2747554821956717
1957,-0.6390030075007133,13,0,-0.7632771386448681,-0.27445083702121653
1962,-0.6323643112629357,13,0,-0.6159873249742892,-0.2740915967479152
1967,-0.60891777703043,13,0,-0.4783000017848629,-0.27370736748563573
1972,-0.5024795756307862,13,0,-0.2672000900782395,-0.27308725988206967
1977,-0.4059510099151699,13,0,-0.012037137373424956,-0.2715596430336008
1982,-0.27035042447943813,13,0,0.15561924884992043,-0.26977993138455747
1987,-0.10243410765105357,13,0,0.3211847702104342,-0.26807595936349565
1992,0.07496878992106176,13,0,0.25327038188809037,-0.2662721727269563
1997,0.14529466447880995,13,0,-0.5357600657930491,-0.2644449047327496
2002,0.3844187214708248,13,0,-0.9943564257074377,-0.2635609522270797
2007,0.5433549321370867,13,0,-0.6773193609506818,-0.26347818326811107
1952,-0.5181745161203279,14,1,-0.6626833069108609,0.25442548245084123
1957,-0.4797738600001258,14,1,-0.479306714496597,0.33874552078019915
1962,-0.39359855954287043,14,1,-0.295000848809963,0.43757281678029336
1967,-0.3841330390965833,14,1,-0.14267747158071575,0.5507434720822374
1972,-0.22625213462715077,14,1,0.0022891589089390637,0.6712619643310896
1977,-0.056340245833862955,14,1,0.15600644604674074,0.7982223578721283
1982,-0.018721401249887592,14,1,0.2990370905522924,0.9362553140087067
1987,0.06005023424236037,14,1,0.4437714027238548,1.0679387772297615
1992,-0.026895570703309536,14,1,0.5871892444262273,1.190790922562066
1997,0.0753614181402151,14,1,0.7677005775840189,1.3092412273332292
2002,0.09294028412710885,14,1,0.8929975904751838,1.4163536546662205
2007,0.18777839190520648,14,1,1.0001737745551424,1.5114892892568705
1952,-0.48414537264896634,15,3,0.009723345087896003,-0.21037404698423343
1957,-0.426874019771197,15,3,0.5525738150304601,-0.20682777776933434
1962,-0.3004688935564586,15,3,0.7771481891864429,-0.20341966411868823
1967,-0.16625034533888552,15,3,0.8476180790078027,-0.20061848514302916
1972,-0.062695095301691,15,3,0.8847890099025862,-0.19811229307873976
1977,0.04027711936660952,15,3,0.8778194603598142,-0.1960315545703874
1982,0.10237538708655453,15,3,0.8987281089881294,-0.19513568235466566
1987,0.10396482125121667,15,3,0.9188623632228041,-0.19438318587661085
1992,-0.09261737594697234,15,3,0.9072464473181839,-0.19733674868701953
1997,-0.12633117155170284,15,3,0.8398741350713889,-0.20291921532772944
2002,0.048855612232114806,15,3,0.9808139147141094,-0.2067284154432501
2007,0.3516610737205767,15,3,1.0477990297640831,-0.2099221533441814
1952,-0.6770541462588576,16,0,-2.1295411673462463,-0.23680396401055412
1957,-0.6695522171059357,16,0,-1.9025661705699761,-0.23451013123910122
1962,-0.6588639126129813,16,0,-1.6773722808990807,-0.232567020624043
1967,-0.6515257334525636,16,0,-1.4541143772122884,-0.23060424484307315
1972,-0.645446374614378,16,0,-1.2300046396924909,-0.2277213616730588
1977,-0.6567456026471197,16,0,-1.0328438270714113,-0.2234275523180395
1982,-0.6502702716460219,16,0,-0.8791265399336096,-0.21640743672733892
1987,-0.6396290519058372,16,0,-0.7680009444460801,-0.2074374544487681
1992,-0.6376310298674751,16,0,-0.7135610185730957,-0.19526566844175264
1997,-0.6361553489408825,16,0,-0.7086048944537914,-0.181371526734378
2002,-0.6268855039456291,16,0,-0.6833596372210843,-0.1634838016021592
2007,-0.6086819776029943,16,0,-0.5559717594670872,-0.14393176457505102
1952,-0.697751036630928,17,0,-1.5831284831929322,-0.25587890168663113
1957,-0.6936647900033912,17,0,-1.466814445268006,-0.25378800551232156
1962,-0.6961368838021491,17,0,-1.3497260129494386,-0.25101399216834586
1967,-0.6902741891212302,17,0,-1.2333345355851484,-0.2475363201780929
1972,-0.68508654181645,17,0,-1.1939178609488053,-0.2456612602713306
1977,-0.6757503821517349,17,0,-1.0504225798070694,-0.2427926901760741
1982,-0.6753952201449075,17,0,-0.9295396149596596,-0.2357634063024641
1987,-0.6690818406189787,17,0,-0.8722344298302019,-0.23062226103723846
1992,-0.6680791517903523,17,0,-1.1413364816205602,-0.22418455284463565
1997,-0.6851864301861935,17,0,-1.0956472123957222,-0.22124114770018422
2002,-0.6868822575355397,17,0,-0.938135392729078,-0.21276573445045965
2007,-0.688539644392798,17,0,-0.7662198373407054,-0.1998620405554789
1952,-0.6947906992897465,18,2,-1.5532368595983772,-0.23469462762077306
1957,-0.6881370242731145,18,2,-1.4023073922776843,-0.22877057883849083
1962,-0.6817566987660323,18,2,-1.2436339810205783,-0.2215991253322626
1967,-0.6790656945913796,18,2,-1.0887551022923145,-0.2133406225373943
1972,-0.689396776975731,18,2,-1.4835413641706585,-0.20871842281477312
1977,-0.678909435079168,18,2,-2.1880079440661664,-0.21316592575924334
1982,-0.6688122538440112,18,2,-0.6595857293362957,-0.21039680279433237
1987,-0.6627825493503071,18,2,-0.4305973071365577,-0.20003837688268047
1992,-0.6629441392568829,18,2,-0.28431420617771297,-0.1832819688634681
1997,-0.6576692222968321,18,2,-0.22770597600253245,-0.16789595059238874
2002,-0.6412361377333312,18,2,-0.21082417822115143,-0.15711878950682903
2007,-0.5582742873870487,18,2,0.019248396129684032,-0.1457630183695359
1952,-0.6131839879891002,19,0,-1.622467718389911,-0.23172430183472628
1957,-0.5989387634255243,19,0,-1.4749455864012402,-0.22841829251461113
1962,-0.5901550808146804,19,0,-1.3034172282096879,-0.22433157516553584
1967,-0.5791098704220121,19,0,-1.1364577969406198,-0.2192256707822026
1972,-0.5612812357410043,19,0,-0.962219058371323,-0.2127662055852443
1977,-0.5512060697113139,19,0,-0.7836437111976352,-0.20391983022877622
1982,-0.4918883214006224,19,0,-0.5043970928505755,-0.19175545046057557
1987,-0.46807387568503905,19,0,-0.34765966757757266,-0.1773402713721526
1992,-0.550218668614908,19,0,-0.39962153139090506,-0.16144885739487555
1997,-0.5602471013635754,19,0,-0.5634059456460441,-0.14516042755726338
2002,-0.5359259810574877,19,0,-0.7448465520762048,-0.12881978656281545
2007,-0.5249580867368401,19,0,-0.7003963138811932,-0.11217643204652948
1952,0.42131087883744767,20,1,0.7182942152697024,-0.13960315720483693
1957,0.535246838377505,20,1,0.8119959369003014,-0.11864171104673044
1962,0.6339357017002146,20,1,0.9157647856482384,-0.10002533827925617
1967,0.8992039669850901,20,1,0.9800395203204677,-0.08274488703906936
1972,1.192873328057084,20,1,1.0381190998435665,-0.06894315370835744
1977,1.5095096538224124,20,1,1.1411135541978619,-0.0546969800898868
1982,1.5914929126269792,20,1,1.261144685212267,-0.04145338129316712
1987,1.9697667530974652,20,1,1.3463280685128116,-0.02875347203794209
1992,1.9409850802613975,20,1,1.4307370574197156,-0.010154936433414951
1997,2.2060442190454204,20,1,1.4818470874000425,0.006639520431006357
2002,2.6499035529636066,20,1,1.571676837062435,0.02168214740294034
2007,2.9533437301510395,20,1,1.6400558620209642,0.03570192191199171
1952,-0.6234692696047314,21,0,-1.8594324028441547,-0.2667519669689557
1957,-0.6113394946870012,21,0,-1.704476084676527,-0.26580414743187764
1962,-0.6111137692743516,21,0,-1.5487453721152575,-0.26456794629311076
1967,-0.6168991243104105,21,0,-1.3936341750689014,-0.2625876725662387
1972,-0.6236009282256951,21,0,-1.2403815245672845,-0.26076323138074003
1977,-0.6196067309891052,21,0,-0.9834374647570953,-0.2584992120184602
1982,-0.635094111592375,21,0,-0.8657295169236146,-0.25558347190856384
1987,-0.6464468885111595,21,0,-0.696137144716166,-0.25216267530951475
1992,-0.656287085206144,21,0,-0.7804686941837055,-0.24815694602992208
1997,-0.6570379246392836,21,0,-1.0383420272662645,-0.2440920987575506
2002,-0.6572221768628068,21,0,-1.2519200010325402,-0.24078002122140907
2007,-0.6605378057954732,21,0,-1.1409492844237394,-0.23775510033651617
1952,-0.6125753082528158,22,0,-1.6558441167558522,-0.25364719274788317
1957,-0.5994007344549124,22,0,-1.51730495973342,-0.25164587814152833
1962,-0.5911485114030083,22,0,-1.375203588500238,-0.24923779518479602
1967,-0.6107340657294998,22,0,-1.2292302452988497,-0.2459817826880287
1972,-0.6201415443248137,22,0,-1.076829428630238,-0.242183484631425
1977,-0.6171093482725566,22,0,-0.9363542856237027,-0.23757397727990248
1982,-0.6512130314773346,22,0,-0.7710985220206453,-0.23298646250012778
1987,-0.6355372425854255,22,0,-0.6523064220360671,-0.22710823628700136
1992,-0.6248134605936619,22,0,-0.6001896793440068,-0.21834077600696336
1997,-0.630202127158947,22,0,-0.6118830346879904,-0.20766868740107797
2002,-0.6148568980126936,22,0,-0.6930395671416008,-0.1956667360612358
2007,-0.5592601213919376,22,0,-0.6832821977817198,-0.18244605326044186
1952,-0.3323687446556785,23,1,-0.3662451330249645,-0.21882885279847705
1957,-0.2942499579977942,23,1,-0.26332811811003315,-0.21250804256864345
1962,-0.2736025040812652,23,1,-0.12006515528638913,-0.20390670441367564
1967,-0.21397935679900848,23,1,0.08119994762098985,-0.19544842162472126
1972,-0.17467064506990018,23,1,0.30716823168552654,-0.1873579443394532
1977,-0.24948478957511278,23,1,0.586802047229407,-0.17904459203295509
1982,-0.21509443176278834,23,1,0.8588467977156015,-0.1706836551132066
1987,-0.16928843541280802,23,1,1.008072597370284,-0.1614848238243363
1992,0.038641889456281664,23,1,1.1346086412912755,-0.15102902377539143
1997,0.29455659168441906,23,1,1.2654812938166582,-0.14135252777374835
2002,0.3616047965625282,23,1,1.4237675078769434,-0.1328992672815984
2007,0.6044217862500328,23,1,1.4774330393562867,-0.1254770569975841
1952,-0.6915455701340455,24,2,-1.198331908992561,4.962578724235964
1957,-0.6737326632048293,24,2,-0.691184118174436,5.727178400495839
1962,-0.6826942979822216,24,2,-1.15950687167296,5.994424895744905
1967,-0.6700066027548183,24,2,-0.08466603876425692,6.8309718193825955
1972,-0.6634924217254063,24,2,0.28222343947755196,7.843723152482155
1977,-0.6569637317706102,24,2,0.3479292549892307,8.61096614929674
1982,-0.634518906931996,24,2,0.46855202332037754,9.146420254755576
1987,-0.5922559782151025,24,2,0.6039936027682438,9.935608709839503
1992,-0.5641593312811868,24,2,0.7136478489078543,10.698234585764444
1997,-0.4998794577512085,24,2,0.8480827156439875,11.311699188866852
2002,-0.4156497591012415,24,2,0.9721406975053271,11.785896349624531
2007,-0.22895104847882314,24,2,1.0443916944320615,12.146626313424107
1952,-0.5146055353610681,25,1,-0.6839017132966331,-0.16254565917355798
1957,-0.49637129106160677,25,1,-0.3373602221421429,-0.14242611203024289
1962,-0.47926799072194926,25,1,-0.12478896108760117,-0.1186442457518719
1967,-0.4603550510910981,25,1,0.03783386157707583,-0.09269280379015356
1972,-0.4008972871160008,25,1,0.16638333092153446,-0.0665084233682049
1977,-0.34496909392812125,25,1,0.33783424967372283,-0.042466208007832226
1982,-0.28593371434091874,25,1,0.5559037109231183,-0.017305424441725944
1987,-0.23462311750205828,25,1,0.642248685814125,0.012843442120766463
1992,-0.17968109826315765,25,1,0.6928166397189035,0.043358615978330003
1997,-0.11141696319979529,25,1,0.8393320589958406,0.07591505667198731
2002,-0.1481615487059605,25,1,0.9453466514853371,0.10748482805422367
2007,-0.02118274451467743,25,1,1.0388160547978438,0.13781952902117633
1952,-0.6202544921186368,26,0,-1.452720467303734,-0.2774727237980962
1957,-0.6092791067494318,26,0,-1.317588645613324,-0.2773126133528782
1962,-0.589440605911178,26,0,-1.1621676908095115,-0.2771169887675928
1967,-0.5418097339758906,26,0,-1.006901614884427,-0.2768749291379315
1972,-0.5355640952508404,26,0,-0.8154713207762929,-0.2765672875462459
1977,-0.6131905441406723,26,0,-0.66097963924485,-0.27605175301948237
1982,-0.6036013773019328,26,0,-0.5065653971527712,-0.2756380589877704
1987,-0.5986411638876179,26,0,-0.3522285945000562,-0.2752001768962141
1992,-0.6056504499721463,26,0,-0.11890356369592711,-0.27464126970117503
1997,-0.6130875270777383,26,0,0.09180915081387539,-0.27394820216485694
2002,-0.623012542542728,26,0,0.2710040135024765,-0.2731340812569689
2007,-0.6321112403620791,26,0,0.439667112437556,-0.27222405615231604
1952,-0.6529752382072904,27,0,-1.5744552659841493,-0.14606315949544973
1957,-0.6402584975987212,27,0,-1.4575991519836744,-0.13213710311776242
1962,-0.6412271451263594,27,0,-1.3437631761184006,-0.11415386954199785
1967,-0.6447505277235768,27,0,-1.1939953003881698,-0.09102455320846445
1972,-0.6403563367347523,27,0,-1.044304864097303,-0.06212895228663921
1977,-0.6514312876181436,27,0,-0.9037522816514033,-0.029402036182501475
1982,-0.6638123014019226,27,0,-0.9053010704386861,0.009849380564268649
1987,-0.663911038020794,27,0,-0.9341085418821432,0.05540952764499377
1992,-0.6857339905221415,27,0,-1.0784556568568848,0.1137407064880358
1997,-0.7005018475346457,27,0,-1.307753836814079,0.17147208363673047
2002,-0.707708920650681,27,0,-1.1235254105668095,0.2429042770452635
2007,-0.7040166222604204,27,0,-1.007676009278068,0.3298466138952417
1952,-0.5164821970142858,28,0,-1.3446150099514063,-0.2708678946746797
1957,-0.49725910416692604,28,0,-1.1167881793421304,-0.27006156633612993
1962,-0.4820654720221073,28,0,-0.854887995412636,-0.2690489469207701
1967,-0.46043523700156913,28,0,-0.575718816504941,-0.26780669641136823
1972,-0.4061240399348372,28,0,-0.35369994384797515,-0.26629248805887074
1977,-0.4014534826305421,28,0,-0.2980984263845282,-0.26444270924465313
1982,-0.23702926998129356,28,0,-0.21523822626490713,-0.2622004280413374
1987,-0.3058616145892408,28,0,-0.15522266075770505,-0.2594738768155681
1992,-0.324630121413509,28,0,-0.2355273593783097,-0.2562232541007372
1997,-0.37862289863527065,28,0,-0.5043196534112111,-0.2525307446486805
2002,-0.3786332903709362,28,0,-0.5037001378962984,-0.24755699357244365
2007,-0.3635645503360768,28,0,-0.32156257651186,-0.24311122440398097
1952,-0.46560341928026544,29,1,-0.17566667274983552,-0.27019481267592677
1957,-0.4287675514796769,29,1,0.04271254625701632,-0.268442351462828
1962,-0.38097991376917345,29,1,0.2607820075064113,-0.26624792813093784
1967,-0.3098665723247269,29,1,0.46073063994460034,-0.26395321904878544
1972,-0.21281313283269024,29,1,0.6485212804026198,-0.26163449151531126
1977,-0.13074656763385814,29,1,0.873173093997966,-0.25905586718922863
1982,-0.1981409620344836,29,1,1.0822595802811223,-0.25607914339280624
1987,-0.16088100271781325,29,1,1.1830857303332214,-0.25254144883098795
1992,-0.10704796410770359,29,1,1.2575050315621519,-0.24902296714568795
1997,-0.05462259866064773,29,1,1.3773038442584649,-0.2457731642053824
2002,0.05156191930962731,29,1,1.4441340804297105,-0.24278779979700937
2007,0.24655935185576464,29,1,1.4951666709706728,-0.23997088491954274
1952,-0.59127260479657,30,0,-1.4711510538723978,-0.25087167177259656
1957,-0.5798767460326351,30,0,-1.3168916906590469,-0.24782832009492786
1962,-0.556742941549298,30,0,-1.1263132303839185,-0.24281160152633027
1967,-0.5239478710285344,30,0,-0.9389097871227192,-0.23421374976876894
1972,-0.49085145854059886,30,0,-0.749105721241232,-0.221711472133012
1977,-0.47669198188018547,30,0,-0.5498540437573207,-0.20863392007979698
1982,-0.46806921155064857,30,0,-0.42525398582043294,-0.1938744262680507
1987,-0.5133024867398527,30,0,-0.37321468256773604,-0.17752466410417184
1992,-0.5649417473090388,30,0,-0.5754090587474846,-0.15857093056279578
1997,-0.5509186359223599,30,0,-0.8892711064903108,-0.14110717962329017
2002,-0.5648679711204914,30,0,-0.9790234167133396,-0.12577872460020023
2007,-0.5754266052290624,30,0,-0.8631740154245982,-0.10918834447910113
1952,-0.41565426219346174,31,3,0.13440084246414824,-0.24234215340420193
1957,-0.29195570131226833,31,3,0.41008524660045725,-0.24131495707860476
1962,-0.17630789891601156,31,3,0.5928423234998084,-0.24051105979554385
1967,-0.025879306324146582,31,3,0.6989343554286694,-0.23958943535249272
1972,0.1977523821512205,31,3,0.7848921331228557,-0.23910940554310098
1977,0.41504211194012786,31,3,0.8646547556679116,-0.2382296744051016
1982,0.6095141477033255,31,3,0.8507156565823674,-0.23733739223643893
1987,0.6704769911018362,31,3,0.9328014623083473,-0.23666892735857561
1992,0.12506571400637836,31,3,1.0107829777480284,-0.236577498942265
1997,0.26995390786569445,31,3,1.1000706513348728,-0.237043149718029
2002,0.4478191943447388,31,3,1.1926882208143745,-0.23669992802740608
2007,0.7513165866594134,31,3,1.2602154119398974,-0.2365841042519459
1952,-0.1652826736841801,32,1,-0.004138314558283757,-0.22231357296510848
1957,-0.11397287464843475,32,1,0.22074581735515542,-0.2163494306126519
1962,-0.20645983442319524,32,1,0.446946419737784,-0.21056746665872667
1967,-0.1547566616252431,32,1,0.6826720731622021,-0.202228767300814
1972,-0.1938068773314267,32,1,0.8710822291351344,-0.1957081111180244
